         216 function calls (215 primitive calls) in 0.003 seconds

   Ordered by: file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.000    0.000 mathlib.py:1(<module>)
       20    0.000    0.000    0.000    0.000 mathlib.py:5(add)
       11    0.000    0.000    0.000    0.000 mathlib.py:28(exponent)
        2    0.000    0.000    0.000    0.000 mathlib.py:17(divide)
        1    0.000    0.000    0.000    0.000 mathlib.py:13(multiply)
        2    0.000    0.000    0.000    0.000 mathlib.py:9(sub)
        1    0.000    0.000    0.000    0.000 mathlib.py:32(sqrt)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000    0.003    0.003 profile:0(<code object <module> at 0x7f39506f0660, file "stddev.py", line 1>)
        1    0.000    0.000    0.002    0.002 stddev.py:1(<module>)


